p	f	policy	rc	IPC	cycles	L1_MPKI	l1_hit	mlat	scrb_pct	all_empty_pct	issued_pct	ready_size0_pct
2048	32	GTO	0	7.954185	381361	12.66	45	91	63.2%	5.9%	31.0%	69%
2048	64	GTO	0	10.004057	565461	10.53	47	67	58.6%	3.9%	37.5%	63%
2048	96	GTO	0	10.968315	754564	9.77	48	56	55.3%	3.1%	41.6%	58%
4096	2	GTO	0	4.069451	250768	20.02	47	204	70.3%	3.5%	26.2%	74%
4096	4	GTO	0	4.747550	283486	17.21	47	165	64.9%	4.2%	31.0%	69%
4096	8	GTO	0	6.103083	327736	14.19	48	125	59.6%	7.0%	33.4%	67%
4096	16	GTO	0	7.977069	416210	11.75	48	92	62.6%	5.6%	31.8%	68%
4096	32	GTO	0	9.878938	602268	10.06	49	68	59.0%	3.8%	37.1%	63%
4096	64	GTO	0	11.468678	976289	9.10	49	56	56.3%	2.3%	41.4%	59%
4096	96	GTO	0	12.156267	1352021	8.77	49	49	52.8%	1.9%	45.4%	55%
8192	2	GTO	0	5.651334	340435	13.01	57	178	59.8%	3.4%	36.8%	63%
8192	4	GTO	0	6.427116	400594	11.54	55	130	54.3%	3.9%	41.9%	58%
8192	8	GTO	0	7.925078	490006	10.40	53	102	51.5%	5.3%	43.3%	57%
8192	16	GTO	0	9.616272	678351	9.47	52	77	59.0%	3.6%	37.4%	63%
8192	32	GTO	0	11.130850	1058542	8.78	51	63	57.4%	2.2%	40.4%	60%
8192	64	GTO	0	11.872288	1876338	8.40	50	56	56.1%	1.2%	42.6%	57%
8192	96	GTO	0	12.106738	2705435	8.26	50	52	53.6%	0.9%	45.5%	55%
16384	2	GTO	0	7.340606	508236	8.86	65	148	49.6%	3.3%	47.1%	53%
16384	4	GTO	0	7.923914	635073	8.70	61	114	45.7%	3.2%	51.2%	49%
16384	8	GTO	0	8.955425	854187	8.55	56	101	47.1%	3.2%	49.7%	50%
16384	16	GTO	0	9.670963	1336925	8.36	54	89	60.0%	1.8%	38.2%	62%
16384	32	GTO	0	9.826452	2386200	8.15	52	80	61.3%	0.9%	37.7%	62%
16384	64	GTO	0	9.825545	4522475	8.05	50	77	61.4%	0.5%	38.1%	62%
16384	96	GTO	0	9.822484	6657269	8.03	50	74	59.5%	0.4%	40.1%	60%
32768	2	GTO	0	8.288444	886108	6.87	69	141	43.1%	2.6%	54.3%	46%
32768	4	GTO	0	8.280721	1201280	7.38	63	131	43.3%	1.7%	55.0%	45%
32768	8	GTO	0	7.573438	2004658	7.72	58	143	54.1%	1.2%	44.7%	55%
32768	16	GTO	0	6.615366	3891189	7.78	54	148	68.8%	0.7%	30.5%	69%
32768	32	GTO	0	6.252808	7481230	7.83	52	146	71.6%	0.3%	28.1%	72%
32768	64	GTO	0	5.906108	15027579	7.86	51	148	73.0%	0.2%	26.9%	73%
32768	96	GTO	0	5.771761	22638632	7.90	50	150	72.4%	0.1%	27.5%	72%
64	2	gCAWS	0	1.043916	102333	105.04	10	205	85.7%	7.3%	7.0%	93%
64	4	gCAWS	0	1.080775	103547	100.42	11	205	83.1%	9.7%	7.2%	93%
64	8	gCAWS	0	1.163046	105013	91.98	14	205	70.1%	22.6%	7.3%	93%
64	16	gCAWS	0	1.314370	108614	78.86	19	204	64.0%	28.3%	7.7%	92%
64	32	gCAWS	0	1.585107	115984	64.16	20	183	64.4%	26.7%	8.9%	91%
64	64	gCAWS	0	2.035304	130610	51.74	24	161	67.3%	21.9%	10.8%	89%
64	96	gCAWS	0	2.367360	146867	41.56	28	146	67.3%	20.2%	12.5%	87%
128	2	gCAWS	0	1.149410	103440	94.52	12	205	85.4%	7.0%	7.7%	92%
128	4	gCAWS	0	1.233483	104633	87.15	14	204	82.6%	9.2%	8.2%	92%
128	8	gCAWS	0	1.428185	104686	75.13	20	208	69.3%	22.2%	8.5%	91%
128	16	gCAWS	0	1.740597	109594	61.92	19	184	63.0%	27.5%	9.5%	90%
128	32	gCAWS	0	2.299484	118694	50.68	23	161	65.1%	23.0%	11.8%	88%
128	64	gCAWS	0	3.254108	134262	33.52	30	132	65.2%	19.7%	15.1%	85%
128	96	gCAWS	0	4.000233	150145	26.86	34	113	63.3%	18.1%	18.6%	81%
256	2	gCAWS	0	1.227706	127006	88.79	15	188	85.7%	6.1%	8.2%	92%
256	4	gCAWS	0	1.385947	127178	78.53	20	194	82.6%	8.2%	9.2%	91%
256	8	gCAWS	0	1.651480	131493	66.41	19	185	69.3%	20.8%	9.9%	90%
256	16	gCAWS	0	2.192248	136688	52.26	22	197	67.7%	20.7%	11.6%	88%
256	32	gCAWS	0	3.157556	146951	35.47	29	142	66.2%	18.7%	15.2%	85%
256	64	gCAWS	0	4.688517	168911	23.95	35	110	64.5%	15.3%	20.2%	80%
256	96	gCAWS	0	5.879054	190399	19.29	39	95	60.9%	13.8%	25.3%	75%
512	2	gCAWS	0	1.305570	176159	77.22	18	242	86.8%	4.5%	8.7%	91%
512	4	gCAWS	0	1.528583	177066	67.42	19	230	83.9%	6.1%	10.0%	90%
512	8	gCAWS	0	1.921379	183437	53.69	21	214	73.9%	15.0%	11.1%	89%
512	16	gCAWS	0	2.679197	193134	39.18	26	190	69.1%	17.8%	13.1%	87%
512	32	gCAWS	0	3.974728	212882	27.19	32	156	66.8%	15.6%	17.6%	82%
512	64	gCAWS	0	5.912301	254050	18.97	38	117	63.9%	12.3%	23.8%	76%
512	96	gCAWS	0	7.317494	294755	15.71	41	95	59.8%	10.7%	29.4%	71%
1024	2	gCAWS	0	1.843904	185975	52.05	23	228	83.7%	4.3%	12.0%	88%
1024	4	gCAWS	0	2.213316	191687	43.54	26	215	80.1%	5.6%	14.3%	86%
1024	8	gCAWS	0	2.917012	201524	33.62	30	191	70.1%	13.7%	16.2%	84%
1024	16	gCAWS	0	4.135496	221940	24.32	35	157	66.0%	15.1%	18.8%	81%
1024	32	gCAWS	0	6.010852	262066	17.48	40	117	63.1%	12.2%	24.8%	75%
1024	64	gCAWS	0	8.368943	344964	13.16	43	82	60.1%	8.6%	31.3%	69%
1024	96	gCAWS	0	9.838890	426540	11.61	45	65	55.4%	7.1%	37.5%	63%
2048	2	gCAWS	0	2.761544	205963	32.91	34	218	78.4%	3.9%	17.8%	82%
2048	4	gCAWS	0	3.355478	217991	27.36	36	196	73.5%	4.9%	21.6%	78%
2048	8	gCAWS	0	4.432464	238836	21.30	40	164	64.2%	11.7%	24.2%	76%
2048	16	gCAWS	0	6.153461	279290	16.14	43	124	62.5%	11.5%	26.0%	74%
2048	32	gCAWS	0	8.471194	358086	12.56	45	88	59.5%	8.4%	32.2%	68%
2048	64	gCAWS	0	10.831731	522253	10.41	47	64	57.2%	5.3%	37.5%	62%
2048	96	gCAWS	0	12.023139	688364	9.67	48	54	52.0%	4.2%	43.8%	56%
4096	2	gCAWS	0	4.126485	247302	20.09	46	201	70.3%	3.2%	26.5%	74%
4096	4	gCAWS	0	4.974015	270579	17.17	47	171	64.1%	4.0%	31.9%	68%
4096	8	gCAWS	0	6.405806	312248	14.13	47	127	56.2%	9.1%	34.8%	65%
4096	16	gCAWS	0	8.432305	393740	11.60	48	91	59.1%	7.7%	33.2%	67%
4096	32	gCAWS	0	10.752677	553329	9.95	49	65	56.2%	5.2%	38.6%	61%
4096	64	gCAWS	0	12.690289	882308	9.00	49	49	54.9%	3.0%	42.1%	58%
4096	96	gCAWS	0	13.568626	1211289	8.68	49	39	49.8%	2.4%	47.8%	52%
8192	2	gCAWS	0	5.826011	330228	12.69	57	178	60.0%	2.4%	37.5%	62%
8192	4	gCAWS	0	6.871543	374685	11.38	55	136	52.8%	2.9%	44.3%	56%
8192	8	gCAWS	0	8.528170	455354	10.18	53	98	47.8%	6.2%	46.0%	54%
8192	16	gCAWS	0	10.372277	628908	9.30	52	73	55.8%	4.7%	39.5%	61%
8192	32	gCAWS	0	11.872394	992426	8.65	51	57	54.9%	2.9%	42.3%	58%
8192	64	gCAWS	0	12.643747	1761853	8.33	50	52	55.6%	1.6%	42.9%	57%
8192	96	gCAWS	0	12.819370	2555039	8.21	50	50	51.7%	1.2%	47.1%	53%
16384	2	gCAWS	0	7.595752	491164	8.89	64	151	49.4%	1.6%	48.9%	51%
16384	4	gCAWS	0	8.609372	584510	8.32	61	110	42.6%	1.9%	55.5%	44%
16384	8	gCAWS	0	9.585446	798044	8.33	57	101	43.9%	3.6%	52.5%	47%
16384	16	gCAWS	0	9.926581	1302498	8.18	54	87	57.5%	2.4%	40.0%	60%
16384	32	gCAWS	0	10.288486	2279041	8.01	52	75	59.1%	1.4%	39.6%	60%
16384	64	gCAWS	0	10.477198	4241190	7.98	51	69	59.7%	0.7%	39.6%	60%
16384	96	gCAWS	0	10.518333	6216852	7.97	50	69	57.2%	0.5%	42.3%	58%
32768	2	gCAWS	0	8.887794	826353	6.63	69	139	42.4%	1.0%	56.7%	43%
32768	4	gCAWS	0	8.573560	1160249	6.82	64	145	43.1%	1.0%	56.0%	44%
32768	8	gCAWS	0	7.718917	1966876	7.34	59	141	53.8%	1.6%	44.7%	55%
32768	16	gCAWS	0	6.832996	3767255	7.59	55	143	67.2%	1.0%	31.8%	68%
32768	32	gCAWS	0	6.599953	7087732	7.74	52	137	69.7%	0.5%	29.8%	70%
32768	64	gCAWS	0	6.260549	14176793	7.81	51	138	71.2%	0.3%	28.5%	71%
32768	96	gCAWS	0	6.086168	21469136	7.86	50	141	70.8%	0.2%	29.0%	71%
