run,bench,input,working_set_bytes,working_set_note,dcache_size,policy,status,trace_rows,issued,span_cycles,ipc,read_misses,non_cold_misses,reuse_hit_pct,unique_lines,line_local_pct,overflow_sets,read_hit_pct,reuse_access_ratio,line_stride_64_plus_pct,max_unique_tags_per_set,same_set_tag_changes,artifact
17,sgemm3,N16_T4,3072,3*N*N*4=3072B; local tiles=2*T*T*4=128B,8192,RR,ok,20881,2064,124049,0.016639,7752,6832,29,965,14.80,32,27,90.94,66.94,262,6682,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run17/RR/sgemm3
17,sgemm3,N16_T4,3072,3*N*N*4=3072B; local tiles=2*T*T*4=128B,8192,GTO,ok,11771,2064,120089,0.017187,7864,6958,28,965,13.55,32,26,90.94,67.99,262,6634,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run17/GTO/sgemm3
17,sgemm3,N16_T4,3072,3*N*N*4=3072B; local tiles=2*T*T*4=128B,8192,gCAWS,ok,20037,2064,119921,0.017211,7741,6837,29,965,13.90,32,27,90.94,67.14,262,6711,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run17/gCAWS/sgemm3
18,sgemm3,N16_T4,3072,3*N*N*4=3072B; local tiles=2*T*T*4=128B,16384,RR,ok,21195,2064,123097,0.016767,6892,5964,38,965,14.76,3,35,90.94,67.01,258,6675,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run18/RR/sgemm3
18,sgemm3,N16_T4,3072,3*N*N*4=3072B; local tiles=2*T*T*4=128B,16384,GTO,ok,18651,2064,121730,0.016956,6964,6062,37,965,13.45,3,34,90.94,68.00,258,6652,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run18/GTO/sgemm3
18,sgemm3,N16_T4,3072,3*N*N*4=3072B; local tiles=2*T*T*4=128B,16384,gCAWS,ok,28363,2064,127194,0.016227,6985,6068,37,965,13.76,3,34,90.94,67.24,258,6717,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run18/gCAWS/sgemm3
19,sgemm3,N16_T4,3072,3*N*N*4=3072B; local tiles=2*T*T*4=128B,32768,RR,ok,24256,2064,126010,0.016380,6804,5867,39,965,14.58,3,36,90.94,67.16,257,6676,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run19/RR/sgemm3
19,sgemm3,N16_T4,3072,3*N*N*4=3072B; local tiles=2*T*T*4=128B,32768,GTO,ok,10209,2064,122325,0.016873,6875,6003,38,965,13.55,3,35,90.94,67.93,257,6660,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run19/GTO/sgemm3
19,sgemm3,N16_T4,3072,3*N*N*4=3072B; local tiles=2*T*T*4=128B,32768,gCAWS,ok,19951,2064,127983,0.016127,6965,6046,37,965,13.75,3,34,90.94,67.11,257,6728,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run19/gCAWS/sgemm3
20,sgemm3,N32_T4,12288,3*N*N*4=12288B; local tiles=2*T*T*4=128B,512,RR,ok,22104,2688,276993,0.009704,30238,29245,15,1061,12.84,2,15,97.03,44.84,658,23293,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run20/RR/sgemm3
20,sgemm3,N32_T4,12288,3*N*N*4=12288B; local tiles=2*T*T*4=128B,512,GTO,ok,12754,2688,247087,0.010879,30406,29425,15,1061,11.68,2,14,97.03,46.60,658,23437,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run20/GTO/sgemm3
